,Female,Female,Female,Female,Female,Female,Female,Female,Female,Female,Female,Female,Female,Female
,self,other,self,other,self,other,self,other,self,other,self,other,self,other
count,13672.0,9525.0,13672.0,9525.0,13672.0,9525.0,13672.0,9525.0,13672.0,9525.0,13672.0,9525.0,13672.0,9525.0
mean,4539.367246928028,4036.850183727034,2126.9725716793446,2071.2503937007873,3.708540513091241,3.738863089568172,4435.443095377414,3428.38687664042,2096.814291983616,1923.7334383202099,1770.6582065535401,1944.606404199475,1112.5492978349912,1178.456902887139
std,3496.920790150281,2491.5038866726522,1071.9621209394559,902.3576383086747,3.4373110924220587,3.667912825783984,2082.38137551449,1309.867015067107,930.7411577526763,693.9688134251487,1217.269270922145,1283.55101031243,648.8446216509545,605.8992993018219
min,601.0,604.0,448.0,401.0,,,1809.0,1771.0,573.0,588.0,183.0,203.0,144.0,177.0
25%,2004.0,2228.0,1265.0,1407.0,1.4630689703373307,1.5397631133671743,2557.0,2552.0,1326.0,1411.0,881.75,1049.0,601.0,735.0
50%,3452.0,3535.0,1931.0,1984.0,2.777928498221499,2.696817420435511,3506.0,3241.0,1952.0,1936.0,1463.0,1676.0,964.0,1092.0
75%,6067.25,5255.0,2860.25,2643.0,4.9506768682475855,4.607922392886015,6342.0,3642.0,2782.25,2408.0,2336.0,2500.0,1495.25,1517.0
max,29487.0,22291.0,6109.0,6139.0,39.079379990605915,37.51651254953765,8274.0,8170.0,4683.0,4353.0,10681.0,12723.0,4210.0,4280.0
